itemset,size,support
Ethanol; Fentanyl; Heroin,3,0.048959
Ethanol; Heroin; Heroin/Morph/Codeine,3,0.049052
Any Opioid; Benzodiazepine; Cocaine,3,0.050910
Any Opioid; Ethanol; Heroin/Morph/Codeine,3,0.051561
Any Opioid; Benzodiazepine; Heroin/Morph/Codeine,3,0.052397
Any Opioid; Benzodiazepine; Heroin,3,0.054069
Any Opioid; Ethanol; Heroin,3,0.056392
Cocaine; Heroin; Heroin/Morph/Codeine,3,0.063174
Any Opioid; Cocaine; Heroin/Morph/Codeine,3,0.064381
Cocaine; Fentanyl; Heroin,3,0.065310
Any Opioid; Heroin; Heroin death certificate (DC),3,0.068562
Any Opioid; Heroin death certificate (DC); Heroin/Morph/Codeine,3,0.068562
Heroin; Heroin death certificate (DC); Heroin/Morph/Codeine,3,0.068748
Any Opioid; Cocaine; Heroin,3,0.072464
Any Opioid; Fentanyl; Fentanyl Analogue,3,0.076551
Cocaine; Ethanol; Fentanyl,3,0.081197
Any Opioid; Cocaine; Ethanol,3,0.083705
Any Opioid; Fentanyl; Xylazine,3,0.099777
Any Opioid; Benzodiazepine; Fentanyl,3,0.128855
Fentanyl; Heroin; Heroin/Morph/Codeine,3,0.129599
Any Opioid; Fentanyl; Heroin/Morph/Codeine,3,0.131457
Any Opioid; Fentanyl; Heroin,3,0.152174
Any Opioid; Ethanol; Fentanyl,3,0.183482
Any Opioid; Heroin; Heroin/Morph/Codeine,3,0.193237
Any Opioid; Cocaine; Fentanyl,3,0.285117
Any Opioid; Cocaine; Fentanyl; Fentanyl Analogue,4,0.031494
Benzodiazepine; Fentanyl; Heroin; Heroin/Morph/Codeine,4,0.032051
Any Opioid; Benzodiazepine; Fentanyl; Heroin/Morph/Codeine,4,0.032702
Ethanol; Fentanyl; Heroin; Heroin/Morph/Codeine,4,0.033538
Any Opioid; Ethanol; Fentanyl; Heroin/Morph/Codeine,4,0.033724
Any Opioid; Benzodiazepine; Fentanyl; Heroin,4,0.037997
Any Opioid; Ethanol; Fentanyl; Heroin,4,0.040505
Any Opioid; Benzodiazepine; Cocaine; Fentanyl,4,0.042178
Cocaine; Fentanyl; Heroin; Heroin/Morph/Codeine,4,0.044593
Any Opioid; Cocaine; Fentanyl; Heroin/Morph/Codeine,4,0.045058
Any Opioid; Cocaine; Fentanyl; Xylazine,4,0.046080
Any Opioid; Benzodiazepine; Heroin; Heroin/Morph/Codeine,4,0.047659
Any Opioid; Ethanol; Heroin; Heroin/Morph/Codeine,4,0.049052
Any Opioid; Cocaine; Fentanyl; Heroin,4,0.053419
Any Opioid; Cocaine; Heroin; Heroin/Morph/Codeine,4,0.063081
Any Opioid; Heroin; Heroin death certificate (DC); Heroin/Morph/Codeine,4,0.068562
Any Opioid; Cocaine; Ethanol; Fentanyl,4,0.075158
Any Opioid; Fentanyl; Heroin; Heroin/Morph/Codeine,4,0.129506
Any Opioid; Benzodiazepine; Fentanyl; Heroin; Heroin/Morph/Codeine,5,0.032051
Any Opioid; Ethanol; Fentanyl; Heroin; Heroin/Morph/Codeine,5,0.033538
Any Opioid; Cocaine; Fentanyl; Heroin; Heroin/Morph/Codeine,5,0.044593
